data,public_transport_usage,pedestrian_count,temperature,humidity,public_transport_delay,weather_conditions,day_of_week,pedestrian_incidents
2023-01-01,288.3333333333333,863.8333333333334,12.704031265981925,47.833333333333336,14.647986527059158,Rain,Sunday,46
2023-01-02,232.54166666666666,830.3333333333334,11.343628163229434,63.666666666666664,11.660098814953516,Snow,Monday,40
2023-01-03,267.4583333333333,891.125,13.902639580279235,57.125,14.749125538150745,Fog,Tuesday,54
2023-01-04,257.7916666666667,876.625,17.73330157204206,58.791666666666664,14.24831106949369,"Clear, Fog, Snow",Wednesday,51
2023-01-05,281.0833333333333,1036.2916666666667,13.445025470719939,54.916666666666664,13.869796938045559,"Fog, Rain",Thursday,54
2023-01-06,284.375,873.125,9.62247603259231,58.125,14.759618424544684,Snow,Friday,48
2023-01-07,306.375,1087.1666666666667,11.372241117580757,54.083333333333336,14.000467133009609,Clear,Saturday,45
2023-01-08,349.125,1056.0833333333333,11.01240452637533,60.708333333333336,14.241198816976,Rain,Sunday,62
2023-01-09,261.9583333333333,844.7083333333334,14.138181311422167,63.875,12.193650840481318,Fog,Monday,48
2023-01-10,282.9583333333333,1048.75,14.178033072933905,65.75,14.767033693463675,Clear,Tuesday,54
2023-01-11,245.75,1027.5833333333333,9.808357173866069,57.583333333333336,10.789370518382645,Clear,Wednesday,45
2023-01-12,241.375,1212.9583333333333,11.38946200432472,62.416666666666664,12.879895325654681,Snow,Thursday,61
2023-01-13,228.04166666666666,1012.9166666666666,9.617688483709149,60.0,17.084924274415588,Clear,Friday,36
2023-01-14,266.7916666666667,1075.2083333333333,13.05074571427948,55.375,12.969371489294195,Snow,Saturday,53
2023-01-15,283.9583333333333,939.25,8.639228705482218,63.291666666666664,16.267502489448905,Rain,Sunday,52
2023-01-16,229.125,947.9583333333334,11.446142008221003,57.5,16.9283599460375,Fog,Monday,51
2023-01-17,242.16666666666666,1044.0833333333333,13.293715068546483,71.45833333333333,13.563448676589102,Clear,Tuesday,43
2023-01-18,285.375,964.5416666666666,12.151298267972393,62.125,12.81999541810786,Rain,Wednesday,50
2023-01-19,312.4166666666667,1098.0833333333333,11.952683252244341,51.458333333333336,16.1328753904354,Snow,Thursday,41
2023-01-20,294.8333333333333,998.7916666666666,15.377245752855211,48.041666666666664,15.435012924063566,Clear,Friday,49
2023-01-21,277.6666666666667,1018.0,12.720377086278058,52.791666666666664,13.570443595358283,"Clear, Snow",Saturday,55
2023-01-22,252.41666666666666,917.4166666666666,8.102469865831644,60.541666666666664,16.414754682442876,Clear,Sunday,37
2023-01-23,296.0833333333333,1152.125,12.851365206416181,64.91666666666667,14.243941902810862,Rain,Monday,30
2023-01-24,293.0833333333333,1157.5833333333333,9.753578207159793,55.458333333333336,15.827320656024831,"Rain, Snow",Tuesday,44
2023-01-25,282.75,1026.4583333333333,14.360813677913939,54.083333333333336,15.804286191442415,Snow,Wednesday,45
2023-01-26,268.375,995.5833333333334,13.731604284677767,48.375,14.336940950399239,Clear,Thursday,45
2023-01-27,281.5833333333333,1046.4166666666667,13.571274094311013,47.708333333333336,13.235156828963587,Rain,Friday,59
2023-01-28,244.625,872.3333333333334,14.644387241116483,66.45833333333333,14.975607213071541,Snow,Saturday,30
2023-01-29,255.41666666666666,946.6666666666666,13.932883508550068,53.875,16.14902775456331,Clear,Sunday,49
2023-01-30,243.875,899.125,9.93603910980505,55.166666666666664,15.377677851109167,Rain,Monday,53
2023-01-31,316.8333333333333,1260.0833333333333,16.01829507069015,59.125,16.738807771066902,Snow,Tuesday,49
2024-01-01,296.1666666666667,970.0416666666666,6.782518194302427,58.333333333333336,13.90173487403507,"Clear, Fog, Rain",Monday,52
2024-01-02,303.4166666666667,915.125,10.358051418949753,61.916666666666664,13.81170380379686,Fog,Tuesday,43
2024-01-03,294.2083333333333,1120.7916666666667,8.711061135834731,62.791666666666664,15.694068069006441,Snow,Wednesday,56
2024-01-04,257.2083333333333,965.2083333333334,15.296340084718196,46.5,15.970696149213731,Snow,Thursday,39
2024-01-05,271.5833333333333,837.5833333333334,8.402750227141423,60.708333333333336,12.750610174776504,Clear,Friday,51
2024-01-06,291.375,886.5416666666666,13.226395495712472,57.541666666666664,12.56876203949598,Fog,Saturday,39
2024-01-07,278.0833333333333,1100.2916666666667,13.744354933754082,54.458333333333336,14.539048285486027,Rain,Sunday,56
2024-01-08,225.54166666666666,958.4583333333334,12.488624984619365,53.708333333333336,15.718043133486225,Fog,Monday,39
2024-01-09,278.3333333333333,879.0,13.627487024814007,59.291666666666664,16.192490406044467,Fog,Tuesday,44
2024-01-10,281.25,1145.2916666666667,8.904987580045198,64.70833333333333,13.05625484756527,Rain,Wednesday,45
2024-01-11,242.375,1022.4583333333334,11.529120166452246,51.791666666666664,13.711117171039637,Rain,Thursday,34
2024-01-12,275.7083333333333,1012.5416666666666,8.808344698400749,58.875,12.914914669823196,Fog,Friday,48
2024-01-13,257.1666666666667,1030.2916666666667,10.920124144401614,50.958333333333336,14.479955156807529,Rain,Saturday,52
2024-01-14,283.8333333333333,946.2916666666666,13.691860663163164,56.916666666666664,14.735281601502557,Snow,Sunday,52
2024-01-15,285.6666666666667,1138.1666666666667,6.113938814111119,60.916666666666664,12.827435493856674,Snow,Monday,47
2024-01-16,289.7916666666667,1063.0,12.594001317118826,50.916666666666664,15.519593013053738,Rain,Tuesday,54
2024-01-17,272.0,888.6666666666666,13.561859468004501,60.125,15.607842755279563,Fog,Wednesday,44
2024-01-18,291.4583333333333,1018.4166666666666,16.945526785500075,61.416666666666664,15.21155696968844,Rain,Thursday,64
2024-01-19,226.66666666666666,1071.6666666666667,11.194824388945733,60.25,14.637847813815897,Fog,Friday,40
2024-01-20,265.2083333333333,875.4166666666666,13.0453174508211,63.666666666666664,11.066678350370898,"Rain, Snow",Saturday,52
2024-01-21,280.2916666666667,1109.375,7.889372269084999,61.541666666666664,13.29540011335502,Rain,Sunday,53
2024-01-22,297.875,1043.375,11.266302981820068,52.5,12.132212784159067,Clear,Monday,44
2024-01-23,284.5,1081.25,9.517213436356458,65.125,14.468487006356163,"Fog, Snow",Tuesday,58
2024-01-24,297.75,808.7083333333334,11.659383415218729,59.5,12.927568431529155,"Fog, Rain",Wednesday,49
2024-01-25,293.7916666666667,1039.75,12.523972570705517,54.583333333333336,14.713188279812476,Rain,Thursday,54
2024-01-26,258.8333333333333,1004.1666666666666,10.345202171207566,62.708333333333336,18.566737370921334,Rain,Friday,58
2024-01-27,244.33333333333334,1093.7083333333333,12.305819139187241,57.375,17.280351973439195,Fog,Saturday,48
2024-01-28,283.9166666666667,911.5,13.699041546932579,56.333333333333336,13.613965397182938,"Clear, Rain",Sunday,53
2024-01-29,267.8333333333333,1034.0,17.808187237651477,58.875,16.936273068854337,Fog,Monday,36
